,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y
,bedtemp,exttemp,layerthickness,density,thermalresistance,impactstrength,glasstransitiontemp,thermalconductivity,linearthermalexpansioncoefficient,weight,strength,lengthavg,elongation
1.1,,,,1.23,85,8,85,0.2,,1.44,1.23,,
1.2,,,,,,,,,,1.39,1.06,,
1.3,,,,,,,,,,1.33,0.997,,
5.1,,,,,,,,,,1.69,1.567,,
5.2,,,,,,,,,,1.67,1.523,,
5.3,,,,,,,,,,1.66,1.437,,
9.1,,,,,,,,,,1.54,1.57,,
9.2,,,,,,,,,,1.62,1.493,,
9.3,,,,,,,,,,1.61,1.58,,
10.1,,,,,,,,,,1.03,0.78,,
10.2,,,,,,,,,,1.04,0.803,,
10.3,,,,,,,,,,1.03,0.653,,
11.1,,,,,,,,,,1.28,0.957,,
11.2,,,,,,,,,,1.3,1.023,,
11.3,,,,,,,,,,1.31,0.99,,
12.1,,,,,,,,,,1.51,1.453,,
12.2,,,,,,,,,,1.48,1.373,,
12.3,,,,,,,,,,1.48,1.233,,
14.1,,,,,,,,,,1.75,1.627,,
14.2,,,,,,,,,,1.72,1.62,,
14.3,,,,,,,,,,1.55,1.457,,
18.1,,,,,,,,,,1.41,1.27,,
18.2,,,,,,,,,,1.41,1.33,,
18.3,,,,,,,,,,1.41,1.297,,
19.1,,,,,,,,,,1.25,0.88,,
19.2,,,,,,,,,,1.34,1.207,,
19.3,,,,,,,,,,1.25,1.077,,
19.4,,,,,,,,,,1.38,1.213,,
24.1,,,,,,,,,,1.6,1.563,,
24.2,,,,,,,,,,1.57,1.58,,
24.3,,,,,,,,,,1.55,1.39,,
25.1,,,,,,,,,,1.71,1.503,,
25.2,,,,,,,,,,1.69,1.487,,
25.3,,,,,,,,,,1.69,1.7,,
27.1,,,,,,,,,,1.53,1.507,,
27.2,,,,,,,,,,1.52,1.49,,
27.3,,,,,,,,,,1.48,1.46,,
